LGDNAME,casualties_count
Belfast,1802
"Armagh City, Banbridge and Craigavon",864
"Newry, Mourne and Down",746
Antrim and Newtownabbey,650
Derry City and Strabane,634
Lisburn and Castlereagh,615
Ards and North Down,605
Mid Ulster,564
Causeway Coast and Glens,529
Mid and East Antrim,507
Fermanagh and Omagh,469
TOTAL,7985
