,collision_count,casualties_count,vehicles_count
Belfast,1173,1802,2213
"Armagh City, Banbridge and Craigavon",543,864,1023
"Newry, Mourne and Down",468,746,860
Derry City and Strabane,411,634,769
Antrim and Newtownabbey,391,650,752
Ards and North Down,386,605,706
Lisburn and Castlereagh,376,615,732
Mid Ulster,362,564,655
Causeway Coast and Glens,338,529,627
Mid and East Antrim,317,507,571
Fermanagh and Omagh,293,469,498
TOTAL,5058,7985,9406
