LGDNAME,vehicles_count
Belfast,2146
"Armagh City, Banbridge and Craigavon",1012
"Newry, Mourne and Down",886
Lisburn and Castlereagh,861
Antrim and Newtownabbey,815
Derry City and Strabane,680
Mid Ulster,666
Ards and North Down,656
Causeway Coast and Glens,641
Mid and East Antrim,518
Fermanagh and Omagh,513
TOTAL,9394
