LGDNAME,fatal,serious,slight,total,fatal_percentage,serious_percentage,slight_percentage,serious_to_slight_ratio
Antrim and Newtownabbey,4,42,287,333,1.2012012012012012,12.612612612612612,86.18618618618619,0.14634146341463414
Ards and North Down,3,67,272,342,0.8771929824561403,19.5906432748538,79.53216374269006,0.24632352941176472
"Armagh City, Banbridge and Craigavon",8,70,440,518,1.5444015444015444,13.513513513513514,84.94208494208493,0.1590909090909091
Belfast,3,137,957,1097,0.27347310847766637,12.488605287146765,87.23792160437557,0.14315569487983282
Causeway Coast and Glens,7,68,255,330,2.1212121212121215,20.606060606060606,77.27272727272727,0.26666666666666666
Derry City and Strabane,8,48,311,367,2.17983651226158,13.079019073569482,84.74114441416893,0.15434083601286175
Fermanagh and Omagh,15,54,220,289,5.190311418685121,18.685121107266436,76.12456747404845,0.24545454545454545
Lisburn and Castlereagh,1,61,317,379,0.2638522427440633,16.094986807387862,83.64116094986808,0.19242902208201892
Mid Ulster,4,73,278,355,1.1267605633802817,20.56338028169014,78.30985915492957,0.26258992805755393
Mid and East Antrim,1,58,221,280,0.35714285714285715,20.714285714285715,78.92857142857143,0.26244343891402716
"Newry, Mourne and Down",8,87,368,463,1.7278617710583155,18.790496760259177,79.48164146868251,0.23641304347826086
