LGDNAME,vehicles_count
Belfast,2056
"Armagh City, Banbridge and Craigavon",952
"Newry, Mourne and Down",832
Lisburn and Castlereagh,735
Derry City and Strabane,689
Mid Ulster,651
Ards and North Down,651
Antrim and Newtownabbey,636
Causeway Coast and Glens,601
Fermanagh and Omagh,516
Mid and East Antrim,503
TOTAL,8822
