LGDNAME,collision_count
Belfast,1132
"Armagh City, Banbridge and Craigavon",554
"Newry, Mourne and Down",491
Lisburn and Castlereagh,426
Antrim and Newtownabbey,417
Mid Ulster,366
Derry City and Strabane,357
Ards and North Down,353
Causeway Coast and Glens,346
Mid and East Antrim,290
Fermanagh and Omagh,283
TOTAL,5015
