_id,a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2669,2024,2669,BELC,3,1,1,TUE,6,8,14,20,334232,378732,13,30, , , , , , , , , , 
2670,2024,2670,MEAN,3,2,2,TUE,6,8,13,30,345702,394366,13,60, , , , , , , , , , 
2671,2024,2671,MEAN,3,2,1,TUE,6,8,15,3,309376,402552,13,40, , , , , , , , , , 
2672,2024,2672,BELC,3,2,1,TUE,6,8,16,5,330391,369974,13,30, , , , , , , , , , 
2673,2024,2673,NEMD,2,3,4,TUE,6,8,16,17,341394,349383,13,60,1,1,1,1,2,1,1,1,1,1
2674,2024,2674,FERO,2,1,1,TUE,6,8,18,41,247434,373422,13,50,12,7,1,1,1,1,2,1,1,1
2675,2024,2675,ARBC,2,2,1,TUE,6,8,18,44,319406,338616,13,60,12,7,1,1,2,1,2,1,1,1
2676,2024,2676,NEMD,3,2,1,TUE,6,8,19,15,346887,347774,13,60, , , , , , , , , , 
2677,2024,2677,BELC,3,2,1,TUE,6,8,17,0,328813,370726,13,30, , , , , , , , , , 
2678,2024,2678,NEMD,3,2,1,TUE,6,8,20,45,308159,326728,13,30, , , , , , , , , , 
2679,2024,2679,FERO,3,2,1,TUE,6,8,18,30,244741,372449,13,30, , , , , , , , , , 
2680,2024,2680,LISC,3,4,1,WED,7,8,7,40,328669,364574,12,70, , , , , , , , , , 
2681,2024,2681,BELC,3,2,2,WED,7,8,9,30,332883,373513,11,50, , , , , , , , , , 
2682,2024,2682,ANTN,3,1,1,WED,7,8,13,19,334665,382588,13,30, , , , , , , , , , 
2683,2024,2683,LISC,3,2,1,WED,7,8,14,25,330639,364501,13,60, , , , , , , , , , 
2684,2024,2684,NEMD,3,2,1,THU,1,8,13,20,339536,334115,13,60, , , , , , , , , , 
2685,2024,2685,ARBC,3,2,2,WED,7,8,15,50,302340,355427,13,30, , , , , , , , , , 
2686,2024,2686,BELC,3,4,2,WED,7,8,16,40,338472,373074,13,30, , , , , , , , , , 
2687,2024,2687,NEMD,3,2,1,WED,7,8,17,0,321432,329015,13,30, , , , , , , , , , 
2688,2024,2688,BELC,3,2,3,WED,7,8,17,34,329115,370997,13,30, , , , , , , , , , 
2689,2024,2689,LISC,3,1,1,WED,7,8,18,23,317819,361534,13,60, , , , , , , , , , 
2690,2024,2690,BELC,3,2,1,WED,7,8,19,43,334134,377566,13,30, , , , , , , , , , 
2691,2024,2691,BELC,2,1,1,WED,7,8,15,0,333961,374102,2,20,12,3,1,11,1,10,10,1,1,2
2692,2024,2692,ARBC,3,1,1,THU,8,8,10,29,295836,340525,13,60, , , , , , , , , , 
2693,2024,2693,ARBC,3,2,3,THU,8,8,13,11,301348,353644,13,30, , , , , , , , , , 
2694,2024,2694,ARND,3,2,2,THU,8,8,13,40,346942,378584,13,60, , , , , , , , , , 
2695,2024,2695,MEAN,3,2,1,THU,8,8,13,55,340095,403870,13,40, , , , , , , , , , 
2696,2024,2696,DCST,3,2,2,THU,8,8,14,25,242251,419805,13,40, , , , , , , , , , 
2697,2024,2697,MEAN,2,1,1,THU,8,8,15,41,339922,400166,13,60,10,7,1,1,2,2,2,1,1,1
2698,2024,2698,CCGL,3,1,1,THU,8,8,15,20,284740,432312,2,30, , , , , , , , , , 
2699,2024,2699,NEMD,3,1,1,THU,8,8,17,4,300785,326687,13,60, , , , , , , , , , 
2700,2024,2700,ARBC,3,2,2,THU,8,8,17,30,302644,358186,12,70, , , , , , , , , , 
2701,2024,2701,BELC,3,2,1,THU,8,8,18,10,330897,372641,13,30, , , , , , , , , , 
2702,2024,2702,BELC,3,5,4,THU,8,8,20,17,332987,373739,11,50, , , , , , , , , , 
2703,2024,2703,BELC,3,2,1,FRI,9,8,0,6,332671,375491,13,30, , , , , , , , , , 
2704,2024,2704,BELC,3,1,1,FRI,9,8,2,0,329161,371013,13,30, , , , , , , , , , 
2705,2024,2705,LISC,3,2,2,FRI,9,8,7,37,340742,368162,13,60, , , , , , , , , , 
2706,2024,2706,MIDU,3,2,1,FRI,9,8,9,26,278949,376689,13,60, , , , , , , , , , 
2707,2024,2707,FERO,3,2,2,FRI,9,8,10,43,223238,344239,13,30, , , , , , , , , , 
2708,2024,2708,ARND,3,2,1,FRI,9,8,10,57,350804,382241,13,30, , , , , , , , , , 
2709,2024,2709,MEAN,3,2,1,FRI,9,8,13,8,311155,402382,13,30, , , , , , , , , , 
2710,2024,2710,ARND,3,1,1,FRI,9,8,16,27,351023,381962,13,30, , , , , , , , , , 
2711,2024,2711,BELC,2,2,1,FRI,9,8,16,54,330924,377661,13,30,1,1,1,1,2,1,1,1,1,1
2712,2024,2712,NEMD,2,1,1,FRI,9,8,17,15,336780,352609,13,30,11,7,3,1,1,1,1,1,1,1
2713,2024,2713,ARBC,3,2,2,FRI,9,8,20,21,296803,360126,12,70, , , , , , , , , , 
2714,2024,2714,ANTN,3,2,1,FRI,9,8,23,0,330031,382058,13,40, , , , , , , , , , 
2715,2024,2715,CCGL,3,1,1,SAT,10,8,4,20,296355,426091,1,60, , , , , , , , , , 
2716,2024,2716,BELC,3,2,1,SAT,10,8,10,20,335800,372553,13,30, , , , , , , , , , 
2717,2024,2717,BELC,3,1,1,SAT,10,8,10,55,335007,370742,13,30, , , , , , , , , , 
2718,2024,2718,NEMD,3,1,1,SAT,10,8,13,51,330315,331013,13,60, , , , , , , , , , 
2719,2024,2719,LISC,3,2,4,SAT,10,8,15,48,316021,361287,14,60, , , , , , , , , , 
2720,2024,2720,ARBC,2,2,2,SAT,10,8,17,25,311729,351867,13,60,12,4,1,1,3,1,1,1,1,1
2721,2024,2721,ANTN,3,1,1,SAT,10,8,18,0,315035,385901,13,40, , , , , , , , , , 
2722,2024,2722,BELC,3,2,1,SAT,10,8,19,35,333401,375198,13,30, , , , , , , , , , 
2723,2024,2723,ANTN,3,2,2,SAT,10,8,21,51,316703,385484,13,40, , , , , , , , , , 
2724,2024,2724,CCGL,3,2,2,SAT,10,8,17,45,256791,420996,13,30, , , , , , , , , , 
2725,2024,2725,CCGL,3,3,1,SAT,10,8,23,49,284853,432725,13,30, , , , , , , , , , 
2726,2024,2726,LISC,3,2,2,SUN,11,8,6,55,335298,370187,11,30, , , , , , , , , , 
2727,2024,2727,BELC,3,2,1,SUN,11,8,8,5,334948,371291,1,30, , , , , , , , , , 
2728,2024,2728,ARBC,3,2,2,SAT,10,8,19,30,295066,357308,13,60, , , , , , , , , , 
2729,2024,2729,NEMD,2,1,1,SUN,11,8,11,42,342408,339749,13,60,1,1,1,1,2,1,1,1,1,1
2730,2024,2730,CCGL,3,2,1,SUN,11,8,14,23,302877,444019,13,60, , , , , , , , , , 
2731,2024,2731,CCGL,3,2,2,SUN,11,8,15,14,266885,431500,13,60, , , , , , , , , , 
2732,2024,2732,DCST,3,2,4,SUN,11,8,15,40,245031,415831,13,30, , , , , , , , , , 
2733,2024,2733,CCGL,3,2,1,SUN,11,8,16,5,267873,428377,13,60, , , , , , , , , , 
2734,2024,2734,NEMD,2,2,1,SUN,11,8,16,39,326838,327334,13,60,10,7,1,1,2,1,1,1,1,1
2735,2024,2735,BELC,3,2,1,SUN,11,8,18,27,333893,368410,11,40, , , , , , , , , , 
2736,2024,2736,ARBC,3,2,3,SUN,11,8,19,15,306564,348266,13,30, , , , , , , , , , 
2737,2024,2737,BELC,3,2,1,SUN,11,8,19,47,331341,373141,13,30, , , , , , , , , , 
2738,2024,2738,MEAN,3,2,1,SUN,11,8,20,10,338334,403397,13,40, , , , , , , , , , 
2739,2024,2739,ANTN,3,2,3,MON,12,8,12,57,312859,393798,11,70, , , , , , , , , , 
2740,2024,2740,DCST,3,2,2,MON,12,8,14,35,244670,417301,13,30, , , , , , , , , , 
2741,2024,2741,ARND,3,2,1,MON,12,8,14,50,348779,381555,13,30, , , , , , , , , , 
2742,2024,2742,LISC,3,2,8,MON,12,8,15,30,327422,352887,13,60, , , , , , , , , , 
2743,2024,2743,CCGL,3,2,1,MON,12,8,15,40,286843,430892,13,30, , , , , , , , , , 
2744,2024,2744,MIDU,3,2,1,MON,12,8,10,55,281004,378897,13,30, , , , , , , , , , 
2745,2024,2745,BELC,3,2,1,MON,12,8,17,25,334069,375249,2,30, , , , , , , , , , 
2746,2024,2746,BELC,3,1,1,MON,12,8,20,10,335393,374413,13,30, , , , , , , , , , 
2747,2024,2747,CCGL,3,1,2,MON,12,8,22,0,296708,424626,13,60, , , , , , , , , , 
2748,2024,2748,NEMD,3,3,1,TUE,13,8,7,19,315977,327229,13,30, , , , , , , , , , 
2749,2024,2749,BELC,3,2,1,TUE,13,8,7,46,337944,370875,13,60, , , , , , , , , , 
2750,2024,2750,FERO,3,2,1,TUE,13,8,9,0,242531,380090,13,60, , , , , , , , , , 
2751,2024,2751,ARBC,3,2,1,TUE,13,8,9,49,288792,356908,13,60, , , , , , , , , , 
2752,2024,2752,BELC,3,3,1,TUE,13,8,12,50,333253,374593,11,50, , , , , , , , , , 
2753,2024,2753,MIDU,3,2,1,TUE,13,8,13,38,278243,394646,1,30, , , , , , , , , , 
2754,2024,2754,BELC,3,2,3,TUE,13,8,14,56,335030,373862,13,30, , , , , , , , , , 
2755,2024,2755,ARBC,3,2,1,TUE,13,8,10,30,308053,358629,13,30, , , , , , , , , , 
2756,2024,2756,MEAN,2,2,3,TUE,13,8,17,9,320330,400824,13,60,12,7,1,1,2,1,1,1,1,1
2757,2024,2757,MEAN,2,1,1,TUE,13,8,19,26,341430,390083,13,40,12,7,1,1,1,1,1,1,1,1
2758,2024,2758,LISC,2,2,2,TUE,13,8,17,10,332758,352585,13,60,1,1,1,1,2,1,1,1,1,1
2759,2024,2759,ARBC,3,3,1,WED,14,8,6,54,313284,346460,13,30, , , , , , , , , , 
2760,2024,2760,ARND,3,2,1,TUE,13,8,15,0,349597,374608,13,30, , , , , , , , , , 
2761,2024,2761,CCGL,3,2,1,WED,14,8,8,25,284744,419617,13,60, , , , , , , , , , 
2762,2024,2762,MEAN,3,1,1,WED,14,8,11,32,337206,391262,13,60, , , , , , , , , , 
2763,2024,2763,BELC,3,2,1,TUE,13,8,17,10,333587,373354,2,30, , , , , , , , , , 
2764,2024,2764,BELC,3,1,1,WED,14,8,12,13,330778,373647,13,30, , , , , , , , , , 
2765,2024,2765,LISC,3,3,2,WED,14,8,13,32,336271,366790,13,50, , , , , , , , , , 
2766,2024,2766,CCGL,2,2,1,WED,14,8,14,10,284166,425019,13,60,10,7,1,1,2,1,1,1,1,1
2767,2024,2767,MIDU,3,2,1,WED,14,8,14,48,280506,376247,13,40, , , , , , , , , , 
2768,2024,2768,DCST,3,2,1,WED,14,8,14,59,244647,416108,13,30, , , , , , , , , , 
2769,2024,2769,LISC,3,2,1,WED,14,8,15,15,326538,363900,13,30, , , , , , , , , , 
2770,2024,2770,LISC,3,2,1,WED,14,8,13,10,326737,364468,13,30, , , , , , , , , , 
2771,2024,2771,ARND,3,1,1,WED,14,8,19,30,355604,369399,13,60, , , , , , , , , , 
2772,2024,2772,ANTN,2,1,1,WED,14,8,20,30,307790,389814,13,30,12,4,1,1,4,1,1,1,1,1
2773,2024,2773,NEMD,2,2,1,WED,14,8,20,45,306053,336385,13,60,12,7,1,1,2,1,1,1,1,1
2774,2024,2774,LISC,3,2,2,WED,14,8,17,10,342096,374053,13,30, , , , , , , , , , 
2775,2024,2775,BELC,3,2,1,THU,15,8,7,47,334552,379089,12,70, , , , , , , , , , 
2776,2024,2776,BELC,2,1,1,THU,15,8,8,50,332768,372331,13,30,6,7,1,1,1,2,2,1,3,1
2777,2024,2777,ARND,3,2,1,THU,15,8,9,10,341004,378261,13,60, , , , , , , , , , 
2778,2024,2778,BELC,3,1,1,THU,15,8,9,50,336365,374230,13,30, , , , , , , , , , 
2779,2024,2779,MEAN,2,2,1,THU,15,8,9,22,300146,402296,13,60,1,1,1,1,2,2,2,1,1,1
2780,2024,2780,NEMD,3,2,1,THU,15,8,11,45,340924,340065,13,30, , , , , , , , , , 
2781,2024,2781,ANTN,3,3,1,THU,15,8,12,17,310419,389300,13,60, , , , , , , , , , 
2782,2024,2782,LISC,3,2,1,THU,15,8,14,30,322044,375017,13,60, , , , , , , , , , 
2783,2024,2783,ARBC,1,2,3,THU,15,8,15,30,308260,359354,1,30,2,7,1,1,1,1,1,1,1,1
2784,2024,2784,FERO,3,2,2,THU,15,8,17,14,254092,369415,13,60, , , , , , , , , , 
2785,2024,2785,BELC,3,2,1,THU,15,8,17,17,334381,376877,12,70, , , , , , , , , , 
2786,2024,2786,ARBC,3,2,1,THU,15,8,17,15,302754,358253,14,70, , , , , , , , , , 
2787,2024,2787,MIDU,2,1,2,THU,15,8,18,16,283604,357396,13,60,12,7,1,1,2,1,1,1,1,1
2788,2024,2788,NEMD,3,1,1,THU,15,8,18,35,346458,357618,13,60, , , , , , , , , , 
2789,2024,2789,BELC,3,2,1,THU,15,8,19,11,334124,373523,13,30, , , , , , , , , , 
2790,2024,2790,DCST,3,2,1,THU,15,8,20,5,241417,418819,13,30, , , , , , , , , , 
2791,2024,2791,BELC,3,2,1,THU,15,8,10,15,337553,374007,13,30, , , , , , , , , , 
2792,2024,2792,BELC,3,2,1,FRI,16,8,1,3,334120,373511,13,60, , , , , , , , , , 
2793,2024,2793,NEMD,3,1,1,FRI,16,8,1,13,351410,351637,13,60, , , , , , , , , , 
2794,2024,2794,BELC,3,2,2,FRI,16,8,7,16,333339,374917,14,70, , , , , , , , , , 
2795,2024,2795,BELC,3,2,1,THU,15,8,17,20,331235,374352,13,30, , , , , , , , , , 
2796,2024,2796,BELC,3,3,4,FRI,16,8,10,23,329732,368574,12,70, , , , , , , , , , 
2797,2024,2797,ARBC,2,2,1,FRI,16,8,13,52,300987,349903,13,60,10,7,1,1,1,1,1,1,1,1
2798,2024,2798,LISC,3,2,1,FRI,16,8,14,15,330539,361194,13,60, , , , , , , , , , 
