a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2025,1587,FERO,3,1,1,MON,5,5,22,32,219722,338066,13,60, , , , , , , , , , 
2025,1588,CCGL,3,2,2,MON,5,5,22,0,277740,434496,13,60, , , , , , , , , , 
2025,1589,NEMD,3,2,1,TUE,6,5,8,0,309027,329399,13,60, , , , , , , , , , 
2025,1590,ARBC,3,2,1,TUE,6,5,8,16,301199,354133,13,30, , , , , , , , , , 
2025,1591,BELC,3,2,2,TUE,6,5,8,35,334089,376347,13,30, , , , , , , , , , 
2025,1592,CCGL,3,1,2,TUE,6,5,8,54,309002,438291,13,60, , , , , , , , , , 
2025,1593,LISC,2,2,1,TUE,6,5,9,26,342469,372825,13,30,12,7,1,1,1,1,1,1,1,2
2025,1594,BELC,3,2,1,TUE,6,5,11,38,338635,374584,1,30, , , , , , , , , , 
2025,1595,BELC,3,2,2,TUE,6,5,12,36,331216,371078,13,30, , , , , , , , , , 
2025,1596,FERO,3,1,1,WED,30,4,16,30,245228,372652,13,30, , , , , , , , , , 
2025,1597,MIDU,3,2,2,TUE,6,5,13,52,278707,366002,13,60, , , , , , , , , , 
2025,1598,CCGL,2,2,1,TUE,6,5,15,1,303420,420748,11,60,12,7,1,1,1,1,1,1,1,1
2025,1599,MIDU,3,2,1,FRI,2,5,16,30,279978,362950,13,30, , , , , , , , , , 
2025,1600,ARBC,2,2,2,TUE,6,5,16,44,289164,355339,13,60,1,1,1,1,2,1,1,1,1,1
2025,1601,LISC,3,2,1,TUE,6,5,16,49,343060,374096,11,40, , , , , , , , , , 
2025,1602,LISC,1,2,3,TUE,6,5,17,6,321751,368412,13,60,6,4,1,1,2,1,1,1,1,1
2025,1603,ANTN,3,2,1,TUE,6,5,16,50,334124,382242,13,30, , , , , , , , , , 
2025,1604,MEAN,3,2,2,TUE,6,5,17,28,304883,394724,13,60, , , , , , , , , , 
2025,1605,LISC,3,2,1,TUE,6,5,19,21,327610,366930,1,40, , , , , , , , , , 
2025,1606,BELC,3,2,1,TUE,6,5,20,8,333217,376457,13,30, , , , , , , , , , 
2025,1607,BELC,3,2,1,TUE,6,5,22,27,334739,371689,13,30, , , , , , , , , , 
2025,1608,BELC,3,3,1,WED,7,5,0,18,333002,373854,13,30, , , , , , , , , , 
2025,1609,NEMD,3,2,3,TUE,6,5,21,35,307682,323373,13,60, , , , , , , , , , 
2025,1610,LISC,3,2,3,WED,7,5,7,20,343346,374039,11,40, , , , , , , , , , 
2025,1611,BELC,2,2,3,WED,7,5,8,13,334421,374723,12,50,1,1,1,1,1,1,1,1,1,1
2025,1612,LISC,2,2,8,WED,7,5,8,44,339804,368768,13,60,6,2,1,1,1,1,1,1,1,1
2025,1613,NEMD,2,4,3,WED,7,5,8,50,310358,328425,13,60,12,7,1,1,2,1,1,1,1,1
2025,1614,ARND,3,2,3,WED,7,5,10,5,351085,380317,13,30, , , , , , , , , , 
2025,1615,NEMD,3,2,1,WED,7,5,12,25,307027,327117,13,30, , , , , , , , , , 
2025,1616,ARND,3,2,1,THU,1,5,20,5,349410,374130,13,30, , , , , , , , , , 
2025,1617,LISC,2,2,3,WED,7,5,15,54,324016,364603,13,50,12,7,1,1,1,1,1,1,1,1
2025,1618,LISC,3,2,1,WED,7,5,16,21,343049,374086,11,40, , , , , , , , , , 
2025,1619,BELC,3,2,1,WED,7,5,14,45,335742,373971,13,30, , , , , , , , , , 
2025,1620,NEMD,3,1,1,WED,7,5,17,21,331894,316682,13,60, , , , , , , , , , 
2025,1621,ANTN,3,2,1,WED,7,5,19,27,318757,387772,14,70, , , , , , , , , , 
